Year,GEO,Y,K,L,WAGE,alpha,s_i
2023,Ontario,911581,715757,8.0366,1303740,0.1870495612060504,165030868966476.88
2015,Manitoba,73665,77402,0.637,886292,0.3643520415554808,194234621095.461
2016,Manitoba,73891,79261,0.6407,886616,0.3670353143087226,179589265598.0406
2017,Manitoba,76405,81377,0.6501,945328,0.3465757704504966,309065208429.98346
2018,Manitoba,77545,83149,0.658,986268,0.3360735856016932,401016901027.1733
2019,Manitoba,78038,84348,0.6645,1034668,0.3124307226113422,696463191830.6671
2020,Manitoba,74752,84149,0.6321,1038524,0.2801528244944319,1406511440770.602
2021,Manitoba,78035,83350,0.6811,1139588,0.2575783700863561,2451807191838.572
2022,Manitoba,80674,82480,0.6938,1227824,0.2258913822887813,5557544984342.905
2023,Manitoba,82385,81582,0.7155,1303740,0.1870495612060504,14012370757455.598
2015,Saskatchewan,76328,143531,0.5631,886292,0.3643520415554808,161155025604.91782
2016,Saskatchewan,73677,144239,0.5606,886616,0.3670353143087226,135847656303.44275
2017,Saskatchewan,75740,145909,0.5642999999999999,945328,0.3465757704504966,241670231713.33002
2018,Saskatchewan,76296,147288,0.5732,986268,0.3360735856016932,312370530024.8235
2019,Saskatchewan,74972,147116,0.5735,1034668,0.3124307226113422,534165520583.85
2020,Saskatchewan,69707,144134,0.5487000000000001,1038524,0.2801528244944319,1034239652251.8992
2021,Saskatchewan,72755,141192,0.5658,1139588,0.2575783700863561,1994738263305.8455
2022,Saskatchewan,75354,139262,0.5794,1227824,0.2258913822887813,4724814831289.982
2023,Saskatchewan,77634,138982,0.6019,1303740,0.1870495612060504,12724806021839.004
2015,Alberta,319419,757553,2.2274000000000003,886292,0.3643520415554808,611752158477.0156
2016,Alberta,299754,751934,2.1991,886616,0.3670353143087226,482509699504.4725
2017,Alberta,306425,748437,2.2635,945328,0.3465757704504966,838780786102.8694
2018,Alberta,310233,744592,2.2953,986268,0.3360735856016932,1119770353868.4727
2019,Alberta,304336,736677,2.3091,1034668,0.3124307226113422,1923271533807.806
2020,Alberta,281112,718484,2.1722,1038524,0.2801528244944319,3803836294411.954
2021,Alberta,297707,705884,2.3139000000000003,1139588,0.2575783700863561,7368144520278.547
2022,Alberta,312459,702545,2.3931,1227824,0.2258913822887813,18040093792687.797
2023,Alberta,318014,698421,2.4869,1303740,0.1870495612060504,47616597118418.03
2015,British Columbia,279559,283797,2.4145,886292,0.3643520415554808,757015404475.9395
2016,British Columbia,289631,285974,2.494,886616,0.3670353143087226,754680621353.7395
2017,British Columbia,301933,290839,2.5916,945328,0.3465757704504966,1294558952023.6414
2018,British Columbia,311789,297118,2.6571,986268,0.3360735856016932,1735471223299.4143
2019,British Columbia,323694,310003,2.6807,1034668,0.3124307226113422,3237132583182.4023
2020,British Columbia,317912,321232,2.6351,1038524,0.2801528244944319,6540333165979.969
2021,British Columbia,343369,334625,2.7145,1139588,0.2575783700863561,13101116791850.254
2022,British Columbia,353910,349644,2.8084,1227824,0.2258913822887813,28044770358736.14
2023,British Columbia,362779,368032,2.9005,1303740,0.1870495612060504,69951730306461.47
