Year,GEO,Y,K,L,WAGE,alpha,s_i,total_s,total_L,total_K,l_eff,k_eff,Y_eff,gap,labor_gap,capital_gap
2015,Manitoba,73665,77402,0.637,886292,0.3643520415554808,194234621095.461,5566934656292.936,17.8676,2417360,0.6234142719750003,84343.54499213587,74533.88334729297,0.011795063426226418,-0.021327673508633734,0.08968172646877169
2016,Manitoba,73891,79261,0.6407,886616,0.3670353143087226,179589265598.0406,5269198864082.891,18.1041,2426128,0.6170391566497423,82689.33418641776,73484.449544118,-0.005502029420118766,-0.03692967590176019,0.04325373369523175
2017,Manitoba,76405,81377,0.6501,945328,0.3465757704504966,309065208429.98346,8949068949235.055,18.6196,2447126,0.643046845155307,84513.98816287814,76710.2633074537,0.003995331554920499,-0.010849338324400928,0.03854883029453217
2018,Manitoba,77545,83149,0.658,986268,0.3360735856016932,401016901027.1733,12018085848964.45,18.893,2475676,0.6304175562000346,82607.8237369966,75977.81645303857,-0.020209988354651244,-0.04191860759873167,-0.006508511984550702
2019,Manitoba,78038,84348,0.6645,1034668,0.3124307226113422,696463191830.6671,21042033598460.05,19.1864,2504801,0.6350441995643351,82905.56571910031,76158.76004082059,-0.02408108817729067,-0.04432776589264841,-0.017100989719965952
2020,Manitoba,74752,84149,0.6321,1038524,0.2801528244944319,1406511440770.602,41098283505812.96,18.5917,2506634,0.6362659586421952,85784.83328448287,75258.15933432187,0.0067711811633383735,0.006590663885769903,0.019439723401144034
2021,Manitoba,78035,83350,0.6811,1139588,0.2575783700863561,2451807191838.572,77787763265986.27,19.5089,2522305,0.614904701158501,79501.00734821508,73584.49890571058,-0.057032115003388416,-0.09718881051460725,-0.04617867608620184
2022,Manitoba,80674,82480,0.6938,1227824,0.2258913822887813,5557544984342.905,171463786749622.88,19.9984,2547967,0.6481952237365224,82585.60883062024,77907.35341782898,-0.03429415402943966,-0.0657318770012649,0.0012804174420495112
2023,Manitoba,82385,81582,0.7155,1303740,0.1870495612060504,14012370757455.598,417462611115120.0,20.5328,2578537,0.6891951485670753,86550.06578745719,81326.70197018479,-0.012845761119320393,-0.036764292708490166,0.06089659223183045
2015,Saskatchewan,76328,143531,0.5631,886292,0.3643520415554808,161155025604.91782,5566934656292.936,17.8676,2417360,0.5172422011893848,69979.21419033174,61840.21062529128,-0.1898096291624138,-0.08143810834774506,-0.5124452962054766
2016,Saskatchewan,73677,144239,0.5606,886616,0.3670353143087226,135847656303.44276,5269198864082.891,18.1041,2426128,0.4667501868732789,62549.129610336575,55586.230123911926,-0.24554161917678616,-0.16740958459993058,-0.5663507816170621
2017,Saskatchewan,75740,145909,0.5642999999999999,945328,0.3465757704504966,241670231713.33,8949068949235.055,18.6196,2447126,0.5028235978441256,66084.80846516056,59982.76934009114,-0.20804371085171458,-0.10894276476320107,-0.5470820273926861
2018,Saskatchewan,76296,147288,0.5732,986268,0.3360735856016932,312370530024.8235,12018085848964.45,18.893,2475676,0.4910612636593463,64347.0377902459,59182.61982169232,-0.224302455938813,-0.14329856305068686,-0.5631209752984229
2019,Saskatchewan,74972,147116,0.5735,1034668,0.3124307226113422,534165520583.85,21042033598460.05,19.1864,2504801,0.4870590713665633,63585.98012227615,58411.39084076163,-0.22089058794267682,-0.1507252460914328,-0.5677833809899933
2020,Saskatchewan,69707,144134,0.5487000000000001,1038524,0.2801528244944319,1034239652251.8992,41098283505812.96,18.5917,2506634,0.4678607402192838,63079.52681566636,55339.02553711379,-0.20611953552564605,-0.14732870381030846,-0.5623549834482748
2021,Saskatchewan,72755,141192,0.5658,1139588,0.2575783700863561,1994738263305.8447,77787763265986.27,19.5089,2522305,0.5002734063960876,64680.33124983386,59866.78562735539,-0.17714541093594405,-0.11581228986198716,-0.5418980448620753
2022,Saskatchewan,75354,139262,0.5794,1227824,0.2258913822887813,4724814831289.982,171463786749622.88,19.9984,2547967,0.5510710961962201,70211.1652813122,66233.889232051,-0.12103021429451648,-0.04889351709316525,-0.4958340015128879
2023,Saskatchewan,77634,138982,0.6019,1303740,0.1870495612060504,12724806021839.004,417462611115120.0,20.5328,2578537,0.6258665809311631,78597.17797838087,73853.77712874814,-0.048692877750107624,0.03981821055185763,-0.4344794435367107
2015,Alberta,319419,757553,2.2274000000000003,886292,0.3643520415554808,611752158477.0156,5566934656292.936,17.8676,2417360,1.9634760495074064,265644.43255038303,234748.38708064944,-0.2650769457025116,-0.11848969672829031,-0.6493388151715022
2016,Alberta,299754,751934,2.1991,886616,0.3670353143087226,482509699504.4725,5269198864082.891,18.1041,2426128,1.6578239076044676,222164.7583314615,197433.62471977726,-0.3413478228154511,-0.24613527915762468,-0.7045422093807948
2017,Alberta,306425,748437,2.2635,945328,0.3465757704504966,838780786102.8694,8949068949235.055,18.6196,2447126,1.7451829697050167,229364.89612678887,208186.14714363933,-0.32059672956306,-0.22898918943891466,-0.6935414789397253
2018,Alberta,310233,744592,2.2953,986268,0.3360735856016932,1119770353868.473,12018085848964.45,18.893,2475676,1.7603320163884475,230668.0635687549,212154.9146628309,-0.3161433030566351,-0.23307105110946394,-0.6902087806896193
2019,Alberta,304336,736677,2.3091,1034668,0.3124307226113422,1923271533807.806,21042033598460.05,19.1864,2504801,1.753664007025948,228942.34241246933,210311.1506174504,-0.3089507957735845,-0.24054219954703218,-0.6892228990283811
2020,Alberta,281112,718484,2.1722,1038524,0.2801528244944319,3803836294411.954,41098283505812.96,18.5917,2506634,1.7207478561681555,232000.57454123124,203531.73790729302,-0.2759763442781062,-0.20783175758762756,-0.6770970897873422
2021,Alberta,297707,705884,2.3139000000000003,1139588,0.2575783700863561,7368144520278.547,77787763265986.27,19.5089,2522305,1.8479049736929036,238915.5695436687,221135.3422056736,-0.25720476103795475,-0.2013894404715401,-0.6615370662266481
2022,Alberta,312459,702545,2.3931,1227824,0.2258913822887813,18040093792687.8,171463786749622.88,19.9984,2547967,2.1040770097449237,268077.3855052776,252891.51356529864,-0.19064096868613598,-0.12077346966490171,-0.6184196236464887
2023,Alberta,318014,698421,2.4869,1303740,0.1870495612060504,47616597118418.03,417462611115120.0,20.5328,2578537,2.342011091008678,294112.9438058251,276362.99878972955,-0.13097222515446003,-0.05826085045290188,-0.5788887450322584
2015,British Columbia,279559,283797,2.4145,886292,0.3643520415554808,757015404475.9395,5566934656292.936,17.8676,2417360,2.4297120904274085,328722.8737444089,290490.42612018663,0.03910239384239689,0.006300306658690693,0.1583028493761699
2016,British Columbia,289631,285974,2.494,886616,0.3670353143087226,754680621353.7395,5269198864082.891,18.1041,2426128,2.5929583964237533,347482.005092701,308800.6950589009,0.06618661351478579,0.039678587178730164,0.21508250782484073
2017,British Columbia,301933,290839,2.5916,945328,0.3465757704504966,1294558952023.6414,8949068949235.055,18.6196,2447126,2.693483534413908,353997.5932692523,321310.6987396542,0.06417880370696218,0.03931298595998909,0.21715998634726524
2018,British Columbia,311789,297118,2.6571,986268,0.3360735856016932,1735471223299.4143,12018085848964.45,18.893,2475676,2.7282429360097367,357499.89725553594,328807.37376811565,0.05458298326148661,0.02677465507874633,0.20322530865021957
2019,British Columbia,323694,310003,2.6807,1034668,0.3124307226113422,3237132583182.4023,21042033598460.05,19.1864,2504801,2.95165960568166,385341.696825409,353982.81849595753,0.09357238161954665,0.10107792952648947,0.2430257024138767
2020,British Columbia,317912,321232,2.6351,1038524,0.2801528244944319,6540333165979.969,41098283505812.96,18.5917,2506634,2.958661572928008,398902.8272398341,349953.38198969455,0.10078695358997002,0.12278910588896358,0.24179044192307778
2021,British Columbia,343369,334625,2.7145,1139588,0.2575783700863561,13101116791850.254,77787763265986.27,19.5089,2522305,3.285714444655935,424809.9058546555,393195.3203508526,0.14511013035787337,0.21043081401950084,0.26951036489997904
2022,British Columbia,353910,349644,2.8084,1227824,0.2258913822887813,28044770358736.14,171463786749622.88,19.9984,2547967,3.270956195322581,416747.7620273368,393140.1080900547,0.1108476959963118,0.16470452760382476,0.1919202446698265
2023,British Columbia,362779,368032,2.9005,1303740,0.1870495612060504,69951730306461.47,417462611115120.0,20.5328,2578537,3.440559345422278,432070.1303702917,405994.36179672915,0.11912310744758972,0.18619525785977512,0.17400152804726682
